Tree	Node A-form	Node B-form	Node C-form	Node D-form	Node E-form	Node F-form	Node G-form	Node H-form	Node I-form	Node J-form	Node K-form	Node L-form	Node M-form	Node N-form	Node O-form	Node P-form	Node Q-form	Node R-form	Node S-form	Node T-form	Node U-form	Node V-form	Node W-form	Node X-form	Node Y-form	Node Z-form	Node A1-form	Node B1-form	Node C1-form	Node D1-form	Node E1-form	Node F1-form	Node G1-form	Node H1-form	Node I1-form	Node J1-form	Node K1-form	Absolute frequency	Relative frequency	Order	Grew-match query	Grew-match URL	Number of nodes	Head node	MI	MI3	Dice	logDice	t-score	simple-LL
topli >conj (najverjetneje <advmod (še <advmod tudi <advmod od <case hitre <amod hoje) <nmod razgreti)	topli	najverjetneje	še	tudi	od	hitre	hoje	razgreti																														1	3.7	ABCDEFGH	"pattern {A [form=""topli""]; H [form=""razgreti""]; B [form=""najverjetneje""]; G [form=""hoje""]; C [form=""še""]; D [form=""tudi""]; E [form=""od""]; F [form=""hitre""]; A -[conj]-> H; H -[advmod]-> B; H -[nmod]-> G; G -[advmod]-> C; G -[advmod]-> D; G -[case]-> E; G -[amod]-> F; A << H; H >> B; H >> G; G >> C; G >> D; G >> E; G >> F} without {A -> X0} without {H -> X1} without {B -> X2} without {G -> X3} without {C -> X4} without {D -> X5} without {E -> X6} without {F -> X7}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22topli%22%5D%3B%20H%20%5Bform%3D%22razgreti%22%5D%3B%20B%20%5Bform%3D%22najverjetneje%22%5D%3B%20G%20%5Bform%3D%22hoje%22%5D%3B%20C%20%5Bform%3D%22%C5%A1e%22%5D%3B%20D%20%5Bform%3D%22tudi%22%5D%3B%20E%20%5Bform%3D%22od%22%5D%3B%20F%20%5Bform%3D%22hitre%22%5D%3B%20A%20-%5Bconj%5D-%3E%20H%3B%20H%20-%5Badvmod%5D-%3E%20B%3B%20H%20-%5Bnmod%5D-%3E%20G%3B%20G%20-%5Badvmod%5D-%3E%20C%3B%20G%20-%5Badvmod%5D-%3E%20D%3B%20G%20-%5Bcase%5D-%3E%20E%3B%20G%20-%5Bamod%5D-%3E%20F%3B%20A%20%3C%3C%20H%3B%20H%20%3E%3E%20B%3B%20H%20%3E%3E%20G%3B%20G%20%3E%3E%20C%3B%20G%20%3E%3E%20D%3B%20G%20%3E%3E%20E%3B%20G%20%3E%3E%20F%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BH%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BG%20-%3E%20X3%7D%20without%20%7BC%20-%3E%20X4%7D%20without%20%7BD%20-%3E%20X5%7D%20without%20%7BE%20-%3E%20X6%7D%20without%20%7BF%20-%3E%20X7%7D	8	topli	89.81	89.81	0.00	5.43	1.00	52.07
toplo <advmod oblečeni	toplo	oblečeni																																				1	3.7	AB	"pattern {B [form=""oblečeni""]; A [form=""toplo""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22oble%C4%8Deni%22%5D%3B%20A%20%5Bform%3D%22toplo%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	oblečeni	15.71	15.71	0.33	12.42	1.00	7.46
toplovodna >conj mesojeda	toplovodna	mesojeda																																				1	3.7	AB	"pattern {A [form=""toplovodna""]; B [form=""mesojeda""]; A -[conj]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22toplovodna%22%5D%3B%20B%20%5Bform%3D%22mesojeda%22%5D%3B%20A%20-%5Bconj%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	toplovodna	18.03	18.03	1.00	14.00	1.00	8.85
topo >conj žalostno	topo	žalostno																																				1	3.7	AB	"pattern {A [form=""topo""]; B [form=""žalostno""]; A -[conj]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22topo%22%5D%3B%20B%20%5Bform%3D%22%C5%BEalostno%22%5D%3B%20A%20-%5Bconj%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	topo	15.44	15.44	0.29	12.19	1.00	7.30
totalne >conj (take <det absolutne)	totalne	take	absolutne																																			1	3.7	ABC	"pattern {A [form=""totalne""]; C [form=""absolutne""]; B [form=""take""]; A -[conj]-> C; C -[det]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22totalne%22%5D%3B%20C%20%5Bform%3D%22absolutne%22%5D%3B%20B%20%5Bform%3D%22take%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bdet%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	totalne	32.47	32.47	0.21	11.78	1.00	17.55
totalno <advmod dober	totalno	dober																																				1	3.7	AB	"pattern {B [form=""dober""]; A [form=""totalno""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22dober%22%5D%3B%20A%20%5Bform%3D%22totalno%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	dober	11.62	11.62	0.09	10.54	1.00	5.00
tovorno >conj (in <cc potniško)	tovorno	in	potniško																																			1	3.7	ABC	"pattern {A [form=""tovorno""]; C [form=""potniško""]; B [form=""in""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22tovorno%22%5D%3B%20C%20%5Bform%3D%22potni%C5%A1ko%22%5D%3B%20B%20%5Bform%3D%22in%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	tovorno	23.52	23.52	0.00	3.05	1.00	12.16
točno <advmod določenega	točno	določenega																																				1	3.7	AB	"pattern {B [form=""določenega""]; A [form=""točno""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22dolo%C4%8Denega%22%5D%3B%20A%20%5Bform%3D%22to%C4%8Dno%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	določenega	12.25	12.25	0.12	11.00	1.00	5.37
tradicionalne >conj (in <cc sodobne)	tradicionalne	in	sodobne																																			1	3.7	ABC	"pattern {A [form=""tradicionalne""]; C [form=""sodobne""]; B [form=""in""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22tradicionalne%22%5D%3B%20C%20%5Bform%3D%22sodobne%22%5D%3B%20B%20%5Bform%3D%22in%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	tradicionalne	18.06	18.06	0.00	3.05	1.00	8.88
tradicionalni >conj konvencionalni >conj (in <cc konservativni)	tradicionalni	konvencionalni	in	konservativni																																		1	3.7	ABCD	"pattern {A [form=""tradicionalni""]; B [form=""konvencionalni""]; D [form=""konservativni""]; C [form=""in""]; A -[conj]-> B; A -[conj]-> D; D -[cc]-> C; A << B; A << D; D >> C} without {A -> X0} without {B -> X1} without {D -> X2} without {C -> X3}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22tradicionalni%22%5D%3B%20B%20%5Bform%3D%22konvencionalni%22%5D%3B%20D%20%5Bform%3D%22konservativni%22%5D%3B%20C%20%5Bform%3D%22in%22%5D%3B%20A%20-%5Bconj%5D-%3E%20B%3B%20A%20-%5Bconj%5D-%3E%20D%3B%20D%20-%5Bcc%5D-%3E%20C%3B%20A%20%3C%3C%20B%3B%20A%20%3C%3C%20D%3B%20D%20%3E%3E%20C%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BD%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D	4	tradicionalni	37.64	37.64	0.00	3.47	1.00	20.66
trajno <advmod presežnih	trajno	presežnih																																				1	3.7	AB	"pattern {B [form=""presežnih""]; A [form=""trajno""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22prese%C5%BEnih%22%5D%3B%20A%20%5Bform%3D%22trajno%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	presežnih	14.22	14.22	0.22	11.83	1.00	6.56
trajno <advmod tržno <advmod zasnovan	trajno	tržno	zasnovan																																			1	3.7	ABC	"pattern {C [form=""zasnovan""]; A [form=""trajno""]; B [form=""tržno""]; C -[advmod]-> A; C -[advmod]-> B; C >> A; C >> B} without {C -> X0} without {A -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BC%20%5Bform%3D%22zasnovan%22%5D%3B%20A%20%5Bform%3D%22trajno%22%5D%3B%20B%20%5Bform%3D%22tr%C5%BEno%22%5D%3B%20C%20-%5Badvmod%5D-%3E%20A%3B%20C%20-%5Badvmod%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D%20without%20%7BC%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	zasnovan	28.34	28.34	0.17	11.42	1.00	15.06
trajno >conj (počasi <advmod tekočo)	trajno	počasi	tekočo																																			1	3.7	ABC	"pattern {A [form=""trajno""]; C [form=""tekočo""]; B [form=""počasi""]; A -[conj]-> C; C -[advmod]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22trajno%22%5D%3B%20C%20%5Bform%3D%22teko%C4%8Do%22%5D%3B%20B%20%5Bform%3D%22po%C4%8Dasi%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Badvmod%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	trajno	27.49	27.49	0.08	10.42	1.00	14.55
travniško >conj žitno >conj (in <cc riževo)	travniško	žitno	in	riževo																																		1	3.7	ABCD	"pattern {A [form=""travniško""]; B [form=""žitno""]; D [form=""riževo""]; C [form=""in""]; A -[conj]-> B; A -[conj]-> D; D -[cc]-> C; A << B; A << D; D >> C} without {A -> X0} without {B -> X1} without {D -> X2} without {C -> X3}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22travni%C5%A1ko%22%5D%3B%20B%20%5Bform%3D%22%C5%BEitno%22%5D%3B%20D%20%5Bform%3D%22ri%C5%BEevo%22%5D%3B%20C%20%5Bform%3D%22in%22%5D%3B%20A%20-%5Bconj%5D-%3E%20B%3B%20A%20-%5Bconj%5D-%3E%20D%3B%20D%20-%5Bcc%5D-%3E%20C%3B%20A%20%3C%3C%20B%3B%20A%20%3C%3C%20D%3B%20D%20%3E%3E%20C%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BD%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D	4	travniško	41.55	41.55	0.00	3.47	1.00	23.02
trdno <advmod stoječih	trdno	stoječih																																				1	3.7	AB	"pattern {B [form=""stoječih""]; A [form=""trdno""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22stoje%C4%8Dih%22%5D%3B%20A%20%5Bform%3D%22trdno%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	stoječih	14.12	14.12	0.12	11.00	1.00	6.50
trdo <advmod kapitalistične	trdo	kapitalistične																																				1	3.7	AB	"pattern {B [form=""kapitalistične""]; A [form=""trdo""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22kapitalisti%C4%8Dne%22%5D%3B%20A%20%5Bform%3D%22trdo%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	kapitalistične	14.71	14.71	0.29	12.19	1.00	6.85
tretji >conj zadnji	tretji	zadnji																																				1	3.7	AB	"pattern {A [form=""tretji""]; B [form=""zadnji""]; A -[conj]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22tretji%22%5D%3B%20B%20%5Bform%3D%22zadnji%22%5D%3B%20A%20-%5Bconj%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	tretji	9.42	9.42	0.05	9.57	1.00	3.67
trgovskih >conj gostinskih >conj (in <cc drugih)	trgovskih	gostinskih	in	drugih																																		1	3.7	ABCD	"pattern {A [form=""trgovskih""]; B [form=""gostinskih""]; D [form=""drugih""]; C [form=""in""]; A -[conj]-> B; A -[conj]-> D; D -[cc]-> C; A << B; A << D; D >> C} without {A -> X0} without {B -> X1} without {D -> X2} without {C -> X3}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22trgovskih%22%5D%3B%20B%20%5Bform%3D%22gostinskih%22%5D%3B%20D%20%5Bform%3D%22drugih%22%5D%3B%20C%20%5Bform%3D%22in%22%5D%3B%20A%20-%5Bconj%5D-%3E%20B%3B%20A%20-%5Bconj%5D-%3E%20D%3B%20D%20-%5Bcc%5D-%3E%20C%3B%20A%20%3C%3C%20B%3B%20A%20%3C%3C%20D%3B%20D%20%3E%3E%20C%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BD%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D	4	trgovskih	32.57	32.57	0.00	3.44	1.00	17.61
trinajste >conj (in <cc zadnje)	trinajste	in	zadnje																																			1	3.7	ABC	"pattern {A [form=""trinajste""]; C [form=""zadnje""]; B [form=""in""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22trinajste%22%5D%3B%20C%20%5Bform%3D%22zadnje%22%5D%3B%20B%20%5Bform%3D%22in%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	trinajste	19.94	19.94	0.00	3.05	1.00	10.00
tržaškem <amod Novem >conj (oziroma <cc ljubljanskem <amod Našem)	tržaškem	Novem	oziroma	ljubljanskem	Našem																																	1	3.7	ABCDE	"pattern {B [form=""Novem""]; A [form=""tržaškem""]; E [form=""Našem""]; C [form=""oziroma""]; D [form=""ljubljanskem""]; B -[amod]-> A; B -[conj]-> E; E -[cc]-> C; E -[amod]-> D; B >> A; B << E; E >> C; E >> D} without {B -> X0} without {A -> X1} without {E -> X2} without {C -> X3} without {D -> X4}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22Novem%22%5D%3B%20A%20%5Bform%3D%22tr%C5%BEa%C5%A1kem%22%5D%3B%20E%20%5Bform%3D%22Na%C5%A1em%22%5D%3B%20C%20%5Bform%3D%22oziroma%22%5D%3B%20D%20%5Bform%3D%22ljubljanskem%22%5D%3B%20B%20-%5Bamod%5D-%3E%20A%3B%20B%20-%5Bconj%5D-%3E%20E%3B%20E%20-%5Bcc%5D-%3E%20C%3B%20E%20-%5Bamod%5D-%3E%20D%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20E%3B%20E%20%3E%3E%20C%3B%20E%20%3E%3E%20D%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D%20without%20%7BE%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D%20without%20%7BD%20-%3E%20X4%7D	5	Novem	59.52	59.52	0.03	9.15	1.00	33.84
tržaško >conj istrski	tržaško	istrski																																				1	3.7	AB	"pattern {A [form=""tržaško""]; B [form=""istrski""]; A -[conj]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22tr%C5%BEa%C5%A1ko%22%5D%3B%20B%20%5Bform%3D%22istrski%22%5D%3B%20A%20-%5Bconj%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	tržaško	18.03	18.03	1.00	14.00	1.00	8.85
tudi <advmod deseto	tudi	deseto																																				1	3.7	AB	"pattern {B [form=""deseto""]; A [form=""tudi""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22deseto%22%5D%3B%20A%20%5Bform%3D%22tudi%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	deseto	7.60	7.60	0.00	4.57	0.99	2.58
tudi <advmod druge >conj ((vedno <advmod s <case književnostjo) <nmod povezane)	tudi	druge	vedno	s	književnostjo	povezane																																1	3.7	ABCDEF	"pattern {B [form=""druge""]; A [form=""tudi""]; F [form=""povezane""]; E [form=""književnostjo""]; C [form=""vedno""]; D [form=""s""]; B -[advmod]-> A; B -[conj]-> F; F -[nmod]-> E; E -[advmod]-> C; E -[case]-> D; B >> A; B << F; F >> E; E >> C; E >> D} without {B -> X0} without {A -> X1} without {F -> X2} without {E -> X3} without {C -> X4} without {D -> X5}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22druge%22%5D%3B%20A%20%5Bform%3D%22tudi%22%5D%3B%20F%20%5Bform%3D%22povezane%22%5D%3B%20E%20%5Bform%3D%22knji%C5%BEevnostjo%22%5D%3B%20C%20%5Bform%3D%22vedno%22%5D%3B%20D%20%5Bform%3D%22s%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20-%5Bconj%5D-%3E%20F%3B%20F%20-%5Bnmod%5D-%3E%20E%3B%20E%20-%5Badvmod%5D-%3E%20C%3B%20E%20-%5Bcase%5D-%3E%20D%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20F%3B%20F%20%3E%3E%20E%3B%20E%20%3E%3E%20C%3B%20E%20%3E%3E%20D%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D%20without%20%7BF%20-%3E%20X2%7D%20without%20%7BE%20-%3E%20X3%7D%20without%20%7BC%20-%3E%20X4%7D%20without%20%7BD%20-%3E%20X5%7D	6	druge	51.16	51.16	0.00	5.04	1.00	28.80
tudi <advmod epohalnimi	tudi	epohalnimi																																				1	3.7	AB	"pattern {B [form=""epohalnimi""]; A [form=""tudi""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22epohalnimi%22%5D%3B%20A%20%5Bform%3D%22tudi%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	epohalnimi	7.60	7.60	0.00	4.57	0.99	2.58
tudi <advmod mednarodnopravno <advmod dovoljeno	tudi	mednarodnopravno	dovoljeno																																			1	3.7	ABC	"pattern {C [form=""dovoljeno""]; A [form=""tudi""]; B [form=""mednarodnopravno""]; C -[advmod]-> A; C -[advmod]-> B; C >> A; C >> B} without {C -> X0} without {A -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BC%20%5Bform%3D%22dovoljeno%22%5D%3B%20A%20%5Bform%3D%22tudi%22%5D%3B%20B%20%5Bform%3D%22mednarodnopravno%22%5D%3B%20C%20-%5Badvmod%5D-%3E%20A%3B%20C%20-%5Badvmod%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D%20without%20%7BC%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	dovoljeno	23.04	23.04	0.00	5.15	1.00	11.87
tudi <advmod nekoliko <advmod drugačni	tudi	nekoliko	drugačni																																			1	3.7	ABC	"pattern {C [form=""drugačni""]; A [form=""tudi""]; B [form=""nekoliko""]; C -[advmod]-> A; C -[advmod]-> B; C >> A; C >> B} without {C -> X0} without {A -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BC%20%5Bform%3D%22druga%C4%8Dni%22%5D%3B%20A%20%5Bform%3D%22tudi%22%5D%3B%20B%20%5Bform%3D%22nekoliko%22%5D%3B%20C%20-%5Badvmod%5D-%3E%20A%3B%20C%20-%5Badvmod%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D%20without%20%7BC%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	drugačni	17.98	17.98	0.00	5.10	1.00	8.82
tudi <advmod vladne	tudi	vladne																																				1	3.7	AB	"pattern {B [form=""vladne""]; A [form=""tudi""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22vladne%22%5D%3B%20A%20%5Bform%3D%22tudi%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	vladne	5.01	5.01	0.00	4.56	0.97	1.08
