Tree	Node A-form	Node B-form	Node C-form	Node D-form	Node E-form	Node F-form	Node G-form	Node H-form	Node I-form	Node J-form	Node K-form	Node L-form	Node M-form	Node N-form	Node O-form	Node P-form	Node Q-form	Node R-form	Node S-form	Node T-form	Node U-form	Node V-form	Node W-form	Absolute frequency	Relative frequency	Order	Grew-match query	Grew-match URL	Number of nodes	Head node	MI	MI3	Dice	logDice	t-score	simple-LL
out >conj (and <cc up) >conj (and <cc around)	out	and	up	and	around																			1	4.7	ABCDE	"pattern {A [form=""out""]; C [form=""up""]; B [form=""and""]; E [form=""around""]; D [form=""and""]; A -[conj]-> C; C -[cc]-> B; A -[conj]-> E; E -[cc]-> D; A << C; C >> B; A << E; E >> D} without {A -> X0} without {C -> X1} without {B -> X2} without {E -> X3} without {D -> X4}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22out%22%5D%3B%20C%20%5Bform%3D%22up%22%5D%3B%20B%20%5Bform%3D%22and%22%5D%3B%20E%20%5Bform%3D%22around%22%5D%3B%20D%20%5Bform%3D%22and%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20-%5Bconj%5D-%3E%20E%3B%20E%20-%5Bcc%5D-%3E%20D%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%3B%20A%20%3C%3C%20E%3B%20E%20%3E%3E%20D%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BE%20-%3E%20X3%7D%20without%20%7BD%20-%3E%20X4%7D	5	out	22.12	22.12	0.00	2.93	1.00	11.32
out >obl (in <case the <det mall)	out	in	the	mall																				1	4.7	ABCD	"pattern {A [form=""out""]; D [form=""mall""]; B [form=""in""]; C [form=""the""]; A -[obl]-> D; D -[case]-> B; D -[det]-> C; A << D; D >> B; D >> C} without {A -> X0} without {D -> X1} without {B -> X2} without {C -> X3}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22out%22%5D%3B%20D%20%5Bform%3D%22mall%22%5D%3B%20B%20%5Bform%3D%22in%22%5D%3B%20C%20%5Bform%3D%22the%22%5D%3B%20A%20-%5Bobl%5D-%3E%20D%3B%20D%20-%5Bcase%5D-%3E%20B%3B%20D%20-%5Bdet%5D-%3E%20C%3B%20A%20%3C%3C%20D%3B%20D%20%3E%3E%20B%3B%20D%20%3E%3E%20C%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BD%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D	4	out	18.85	18.85	0.00	2.37	1.00	9.35
out >obl (in <case the <det sea)	out	in	the	sea																				1	4.7	ABCD	"pattern {A [form=""out""]; D [form=""sea""]; B [form=""in""]; C [form=""the""]; A -[obl]-> D; D -[case]-> B; D -[det]-> C; A << D; D >> B; D >> C} without {A -> X0} without {D -> X1} without {B -> X2} without {C -> X3}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22out%22%5D%3B%20D%20%5Bform%3D%22sea%22%5D%3B%20B%20%5Bform%3D%22in%22%5D%3B%20C%20%5Bform%3D%22the%22%5D%3B%20A%20-%5Bobl%5D-%3E%20D%3B%20D%20-%5Bcase%5D-%3E%20B%3B%20D%20-%5Bdet%5D-%3E%20C%3B%20A%20%3C%3C%20D%3B%20D%20%3E%3E%20B%3B%20D%20%3E%3E%20C%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BD%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D	4	out	14.29	14.29	0.00	2.37	1.00	6.60
out >obl (to <case Oregon)	out	to	Oregon																					1	4.7	ABC	"pattern {A [form=""out""]; C [form=""Oregon""]; B [form=""to""]; A -[obl]-> C; C -[case]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22out%22%5D%3B%20C%20%5Bform%3D%22Oregon%22%5D%3B%20B%20%5Bform%3D%22to%22%5D%3B%20A%20-%5Bobl%5D-%3E%20C%3B%20C%20-%5Bcase%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	out	12.25	12.25	0.00	3.36	1.00	5.38
outside >obl (of <case America)	outside	of	America																					1	4.7	ABC	"pattern {A [form=""outside""]; C [form=""America""]; B [form=""of""]; A -[obl]-> C; C -[case]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22outside%22%5D%3B%20C%20%5Bform%3D%22America%22%5D%3B%20B%20%5Bform%3D%22of%22%5D%3B%20A%20-%5Bobl%5D-%3E%20C%3B%20C%20-%5Bcase%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	outside	12.20	12.20	0.00	3.20	1.00	5.35
outside >obl (of <case Palawan)	outside	of	Palawan																					1	4.7	ABC	"pattern {A [form=""outside""]; C [form=""Palawan""]; B [form=""of""]; A -[obl]-> C; C -[case]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22outside%22%5D%3B%20C%20%5Bform%3D%22Palawan%22%5D%3B%20B%20%5Bform%3D%22of%22%5D%3B%20A%20-%5Bobl%5D-%3E%20C%3B%20C%20-%5Bcase%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	outside	16.98	16.98	0.00	3.22	1.00	8.22
over <case here	over	here																						1	4.7	AB	"pattern {B [form=""here""]; A [form=""over""]; B -[case]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22here%22%5D%3B%20A%20%5Bform%3D%22over%22%5D%3B%20B%20-%5Bcase%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	here	2.15	2.15	0.00	6.22	0.77	-0.26
over >conj (and <cc over >advmod again)	over	and	over	again																				1	4.7	ABCD	"pattern {A [form=""over""]; C [form=""over""]; B [form=""and""]; D [form=""again""]; A -[conj]-> C; C -[cc]-> B; C -[advmod]-> D; A << C; C >> B; C << D} without {A -> X0} without {C -> X1} without {B -> X2} without {D -> X3}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22over%22%5D%3B%20C%20%5Bform%3D%22over%22%5D%3B%20B%20%5Bform%3D%22and%22%5D%3B%20D%20%5Bform%3D%22again%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20C%20-%5Badvmod%5D-%3E%20D%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%3B%20C%20%3C%3C%20D%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BD%20-%3E%20X3%7D	4	over	18.35	18.35	0.00	3.57	1.00	9.05
p >goeswith rhaps	p	rhaps																						1	4.7	AB	"pattern {A [form=""p""]; B [form=""rhaps""]; A -[goeswith]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22p%22%5D%3B%20B%20%5Bform%3D%22rhaps%22%5D%3B%20A%20-%5Bgoeswith%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	p	16.11	16.11	0.50	13.00	1.00	7.70
perfectly <advmod still	perfectly	still																						1	4.7	AB	"pattern {B [form=""still""]; A [form=""perfectly""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22still%22%5D%3B%20A%20%5Bform%3D%22perfectly%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	still	8.90	8.90	0.02	8.15	1.00	3.36
perhaps <advmod more <advmod importantly	perhaps	more	importantly																					1	4.7	ABC	"pattern {C [form=""importantly""]; A [form=""perhaps""]; B [form=""more""]; C -[advmod]-> A; C -[advmod]-> B; C >> A; C >> B} without {C -> X0} without {A -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BC%20%5Bform%3D%22importantly%22%5D%3B%20A%20%5Bform%3D%22perhaps%22%5D%3B%20B%20%5Bform%3D%22more%22%5D%3B%20C%20-%5Badvmod%5D-%3E%20A%3B%20C%20-%5Badvmod%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D%20without%20%7BC%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	importantly	23.10	23.10	0.01	7.14	1.00	11.91
physically >conj (and <cc financially)	physically	and	financially																					1	4.7	ABC	"pattern {A [form=""physically""]; C [form=""financially""]; B [form=""and""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22physically%22%5D%3B%20C%20%5Bform%3D%22financially%22%5D%3B%20B%20%5Bform%3D%22and%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	physically	20.12	20.12	0.00	3.31	1.00	10.11
physically >conj (or <cc financially)	physically	or	financially																					1	4.7	ABC	"pattern {A [form=""physically""]; C [form=""financially""]; B [form=""or""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22physically%22%5D%3B%20C%20%5Bform%3D%22financially%22%5D%3B%20B%20%5Bform%3D%22or%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	physically	22.80	22.80	0.00	5.98	1.00	11.72
plus >conj (or <cc minus)	plus	or	minus																					1	4.7	ABC	"pattern {A [form=""plus""]; C [form=""minus""]; B [form=""or""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22plus%22%5D%3B%20C%20%5Bform%3D%22minus%22%5D%3B%20B%20%5Bform%3D%22or%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	plus	19.75	19.75	0.00	5.96	1.00	9.89
pretty <advmod regularly	pretty	regularly																						1	4.7	AB	"pattern {B [form=""regularly""]; A [form=""pretty""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22regularly%22%5D%3B%20A%20%5Bform%3D%22pretty%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	regularly	9.36	9.36	0.04	9.27	1.00	3.64
probably <advmod just	probably	just																						1	4.7	AB	"pattern {B [form=""just""]; A [form=""probably""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22just%22%5D%3B%20A%20%5Bform%3D%22probably%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	just	2.97	2.97	0.00	6.20	0.87	0.04
probably <advmod not	probably	not																						1	4.7	AB	"pattern {B [form=""not""]; A [form=""probably""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22not%22%5D%3B%20A%20%5Bform%3D%22probably%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	not	1.99	1.99	0.00	5.33	0.75	-0.30
professionally >conj (and <cc personally)	professionally	and	personally																					1	4.7	ABC	"pattern {A [form=""professionally""]; C [form=""personally""]; B [form=""and""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22professionally%22%5D%3B%20C%20%5Bform%3D%22personally%22%5D%3B%20B%20%5Bform%3D%22and%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	professionally	17.62	17.62	0.00	3.31	1.00	8.61
quickly >conj (and <cc automatically)	quickly	and	automatically																					1	4.7	ABC	"pattern {A [form=""quickly""]; C [form=""automatically""]; B [form=""and""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22quickly%22%5D%3B%20C%20%5Bform%3D%22automatically%22%5D%3B%20B%20%5Bform%3D%22and%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	quickly	16.66	16.66	0.00	3.31	1.00	8.03
quite <advmod apart >obl (from <case inflation >nmod (in <case prices))	quite	apart	from	inflation	in	prices																		1	4.7	ABCDEF	"pattern {B [form=""apart""]; A [form=""quite""]; D [form=""inflation""]; C [form=""from""]; F [form=""prices""]; E [form=""in""]; B -[advmod]-> A; B -[obl]-> D; D -[case]-> C; D -[nmod]-> F; F -[case]-> E; B >> A; B << D; D >> C; D << F; F >> E} without {B -> X0} without {A -> X1} without {D -> X2} without {C -> X3} without {F -> X4} without {E -> X5}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22apart%22%5D%3B%20A%20%5Bform%3D%22quite%22%5D%3B%20D%20%5Bform%3D%22inflation%22%5D%3B%20C%20%5Bform%3D%22from%22%5D%3B%20F%20%5Bform%3D%22prices%22%5D%3B%20E%20%5Bform%3D%22in%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20-%5Bobl%5D-%3E%20D%3B%20D%20-%5Bcase%5D-%3E%20C%3B%20D%20-%5Bnmod%5D-%3E%20F%3B%20F%20-%5Bcase%5D-%3E%20E%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20D%3B%20D%20%3E%3E%20C%3B%20D%20%3C%3C%20F%3B%20F%20%3E%3E%20E%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D%20without%20%7BD%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D%20without%20%7BF%20-%3E%20X4%7D%20without%20%7BE%20-%3E%20X5%7D	6	apart	53.18	53.18	0.00	4.60	1.00	30.02
quite <advmod casually	quite	casually																						1	4.7	AB	"pattern {B [form=""casually""]; A [form=""quite""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22casually%22%5D%3B%20A%20%5Bform%3D%22quite%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	casually	11.14	11.14	0.04	9.39	1.00	4.71
quite <advmod comfortably	quite	comfortably																						1	4.7	AB	"pattern {B [form=""comfortably""]; A [form=""quite""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22comfortably%22%5D%3B%20A%20%5Bform%3D%22quite%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	comfortably	12.14	12.14	0.04	9.42	1.00	5.31
quite <advmod near	quite	near																						1	4.7	AB	"pattern {B [form=""near""]; A [form=""quite""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22near%22%5D%3B%20A%20%5Bform%3D%22quite%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	near	6.85	6.85	0.02	8.57	0.99	2.14
quite <advmod well	quite	well																						1	4.7	AB	"pattern {B [form=""well""]; A [form=""quite""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22well%22%5D%3B%20A%20%5Bform%3D%22quite%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	well	4.65	4.65	0.01	7.18	0.96	0.88
quite >obl (like <case other <amod destinations)	quite	like	other	destinations																				1	4.7	ABCD	"pattern {A [form=""quite""]; D [form=""destinations""]; B [form=""like""]; C [form=""other""]; A -[obl]-> D; D -[case]-> B; D -[amod]-> C; A << D; D >> B; D >> C} without {A -> X0} without {D -> X1} without {B -> X2} without {C -> X3}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22quite%22%5D%3B%20D%20%5Bform%3D%22destinations%22%5D%3B%20B%20%5Bform%3D%22like%22%5D%3B%20C%20%5Bform%3D%22other%22%5D%3B%20A%20-%5Bobl%5D-%3E%20D%3B%20D%20-%5Bcase%5D-%3E%20B%3B%20D%20-%5Bamod%5D-%3E%20C%3B%20A%20%3C%3C%20D%3B%20D%20%3E%3E%20B%3B%20D%20%3E%3E%20C%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BD%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D	4	quite	28.38	28.38	0.00	6.00	1.00	15.09
randomly >conj (and <cc (at <case times) <obl totally <advmod averse >obl (to <case (one >case 's) <nmod:poss preferences))	randomly	and	at	times	totally	averse	to	one	's	preferences														1	4.7	ABCDEFGHIJ	"pattern {A [form=""randomly""]; F [form=""averse""]; B [form=""and""]; D [form=""times""]; C [form=""at""]; E [form=""totally""]; J [form=""preferences""]; G [form=""to""]; H [form=""one""]; I [form=""'s""]; A -[conj]-> F; F -[cc]-> B; F -[obl]-> D; D -[case]-> C; F -[advmod]-> E; F -[obl]-> J; J -[case]-> G; J -[nmod:poss]-> H; H -[case]-> I; A << F; F >> B; F >> D; D >> C; F >> E; F << J; J >> G; J >> H; H << I} without {A -> X0} without {F -> X1} without {B -> X2} without {D -> X3} without {C -> X4} without {E -> X5} without {J -> X6} without {G -> X7} without {H -> X8} without {I -> X9}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22randomly%22%5D%3B%20F%20%5Bform%3D%22averse%22%5D%3B%20B%20%5Bform%3D%22and%22%5D%3B%20D%20%5Bform%3D%22times%22%5D%3B%20C%20%5Bform%3D%22at%22%5D%3B%20E%20%5Bform%3D%22totally%22%5D%3B%20J%20%5Bform%3D%22preferences%22%5D%3B%20G%20%5Bform%3D%22to%22%5D%3B%20H%20%5Bform%3D%22one%22%5D%3B%20I%20%5Bform%3D%22%27s%22%5D%3B%20A%20-%5Bconj%5D-%3E%20F%3B%20F%20-%5Bcc%5D-%3E%20B%3B%20F%20-%5Bobl%5D-%3E%20D%3B%20D%20-%5Bcase%5D-%3E%20C%3B%20F%20-%5Badvmod%5D-%3E%20E%3B%20F%20-%5Bobl%5D-%3E%20J%3B%20J%20-%5Bcase%5D-%3E%20G%3B%20J%20-%5Bnmod%3Aposs%5D-%3E%20H%3B%20H%20-%5Bcase%5D-%3E%20I%3B%20A%20%3C%3C%20F%3B%20F%20%3E%3E%20B%3B%20F%20%3E%3E%20D%3B%20D%20%3E%3E%20C%3B%20F%20%3E%3E%20E%3B%20F%20%3C%3C%20J%3B%20J%20%3E%3E%20G%3B%20J%20%3E%3E%20H%3B%20H%20%3C%3C%20I%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BF%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BD%20-%3E%20X3%7D%20without%20%7BC%20-%3E%20X4%7D%20without%20%7BE%20-%3E%20X5%7D%20without%20%7BJ%20-%3E%20X6%7D%20without%20%7BG%20-%3E%20X7%7D%20without%20%7BH%20-%3E%20X8%7D%20without%20%7BI%20-%3E%20X9%7D	10	randomly	93.46	93.46	0.00	3.77	1.00	54.27
rather <advmod badly >advcl (I <nsubj think)	rather	badly	I	think																				1	4.7	ABCD	"pattern {B [form=""badly""]; A [form=""rather""]; D [form=""think""]; C [form=""I""]; B -[advmod]-> A; B -[advcl]-> D; D -[nsubj]-> C; B >> A; B << D; D >> C} without {B -> X0} without {A -> X1} without {D -> X2} without {C -> X3}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22badly%22%5D%3B%20A%20%5Bform%3D%22rather%22%5D%3B%20D%20%5Bform%3D%22think%22%5D%3B%20C%20%5Bform%3D%22I%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20-%5Badvcl%5D-%3E%20D%3B%20D%20-%5Bnsubj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20D%3B%20D%20%3E%3E%20C%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D%20without%20%7BD%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D	4	badly	25.84	25.84	0.00	4.58	1.00	13.56
rather <advmod clearly	rather	clearly																						1	4.7	AB	"pattern {B [form=""clearly""]; A [form=""rather""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22clearly%22%5D%3B%20A%20%5Bform%3D%22rather%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	clearly	9.51	9.51	0.05	9.71	1.00	3.73
really <advmod bad	really	bad																						1	4.7	AB	"pattern {B [form=""bad""]; A [form=""really""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22bad%22%5D%3B%20A%20%5Bform%3D%22really%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	bad	4.78	4.78	0.01	7.11	0.96	0.95
really <advmod early	really	early																						1	4.7	AB	"pattern {B [form=""early""]; A [form=""really""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22early%22%5D%3B%20A%20%5Bform%3D%22really%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	early	4.51	4.51	0.01	7.06	0.96	0.80
really <advmod well	really	well																						1	4.7	AB	"pattern {B [form=""well""]; A [form=""really""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22well%22%5D%3B%20A%20%5Bform%3D%22really%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	well	2.58	2.58	0.01	6.44	0.83	-0.11
regardless >obl (of <case age)	regardless	of	age																					1	4.7	ABC	"pattern {A [form=""regardless""]; C [form=""age""]; B [form=""of""]; A -[obl]-> C; C -[case]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22regardless%22%5D%3B%20C%20%5Bform%3D%22age%22%5D%3B%20B%20%5Bform%3D%22of%22%5D%3B%20A%20-%5Bobl%5D-%3E%20C%3B%20C%20-%5Bcase%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	regardless	17.30	17.30	0.00	3.21	1.00	8.41
